epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,7315.52,0.74607,1.04261,0.64909,0.0059,0.45156,0.57658,0.82864,0.65031,0.54755,0.58,0.8017,0.65816,0.53641,0.65649,0.94037,0.58773,0.00683,0,0.00015022,0.00015022,0.00015022
62,7436.03,0.73605,1.02319,0.64724,0.00581,0.44482,0.57665,0.81597,0.64543,0.54689,0.57269,0.81078,0.64734,0.53354,0.65688,0.94465,0.62383,0.0069,0,0.000146557,0.000146557,0.000146557
63,7557.29,0.74508,1.04084,0.64774,0.00578,0.46044,0.57372,0.81476,0.64595,0.54609,0.57288,0.81164,0.64884,0.52904,0.65361,0.94064,0.59724,0.00684,0,0.000142894,0.000142894,0.000142894
64,7677.32,0.73541,1.02867,0.63788,0.00576,0.45319,0.54393,0.78286,0.61456,0.5257,0.55167,0.79528,0.62344,0.51317,0.65227,0.94034,0.66943,0.00682,0,0.000139231,0.000139231,0.000139231
65,7796.31,0.73282,1.02861,0.63913,0.00575,0.43642,0.55835,0.78558,0.62634,0.53405,0.56698,0.79404,0.63698,0.52358,0.65139,0.94361,0.62079,0.00683,0,0.000135568,0.000135568,0.000135568
66,7914.48,0.73456,1.0192,0.62493,0.00579,0.44008,0.58323,0.81138,0.65462,0.55597,0.59417,0.81635,0.66673,0.54034,0.65541,0.94685,0.58031,0.00679,0,0.000131905,0.000131905,0.000131905
67,8033.05,0.73146,1.03033,0.63137,0.00573,0.44699,0.55259,0.78223,0.62771,0.53481,0.55603,0.82605,0.63941,0.52165,0.64643,0.93416,0.63376,0.00674,0,0.000128242,0.000128242,0.000128242
68,8149.17,0.73514,1.02145,0.63074,0.00572,0.44266,0.56857,0.83153,0.66084,0.55801,0.56584,0.82745,0.66353,0.54304,0.64822,0.92901,0.58216,0.00672,0,0.000124579,0.000124579,0.000124579
69,8266.79,0.72626,1.02399,0.63389,0.00575,0.44624,0.58467,0.7977,0.65716,0.556,0.59526,0.81031,0.66651,0.54228,0.64296,0.93242,0.58159,0.00672,0,0.000120916,0.000120916,0.000120916
70,8385.13,0.72485,1.01208,0.61252,0.00565,0.43617,0.58242,0.79994,0.65447,0.55678,0.5875,0.82351,0.66622,0.54532,0.64159,0.92953,0.58228,0.00666,0,0.000117253,0.000117253,0.000117253
